Planet Name,Host Name,Number of Stars in System,Number of Planets in System,Discovery Method,Discovery Year,Controversial Flag,Orbital Period,Semi-Major Axis,Planet Earth Radius,Planet Jupiter Radius,Planet Earth Mass,Planet Jupiter Mass,Insolation Flux,Equilibrium Temperature,Stellar Effective Temperature,Stellar Radius,Stellar Mass,Distance
K2-119 b,K2-119,1,1,Transit,2017,0,7.72651124,,,,,,,,4525.0,0.739177,0.71,365.581
K2-12 b,K2-12,1,1,Transit,2015,0,8.28246,0.0792,2.44,0.21768259,5.2,0.01636103,185.0,1026.0,5672.0,1.117,0.965,326.381
K2-121 b,K2-121,1,1,Transit,2017,0,5.186,,,,,,,,4664.8,0.649127,0.74,169.398
K2-122 b,K2-122,2,1,Transit,2017,0,2.219405,0.029,1.28,0.11419395,,,79.9,,3993.36,0.590802,0.629589,72.0444
K2-123 b,K2-123,1,1,Transit,2017,0,30.951524,0.1649,2.76,0.24623071,,,,338.0,4035.0,0.59,0.62,161.555
K2-124 b,K2-124,1,1,Transit,2017,0,6.41362,,2.36,0.211,,,,,,0.299,,140.385
K2-125 b,K2-125,1,1,Transit,2017,0,21.750264,0.121,2.18,0.19448657,,,2.0,,3654.47,0.402049,0.494727,124.156
K2-126 b,K2-126,1,1,Transit,2017,0,7.385655,0.0656,1.97,0.17575163,,,,601.0,4339.0,0.65,0.69,102.953
K2-127 b,K2-127,1,1,Transit,2017,0,3.588162,,12.72,1.135,,,,,,0.982,,709.999
K2-128 b,K2-128,1,1,Transit,2017,0,5.675814,,1.20312295,0.10733544,,,,,4621.0,0.650657,0.686997,114.637
K2-129 b,K2-129,1,1,Transit,2017,0,8.239493,0.057,1.04,0.09278259,,,4.5,,3459.09,0.36001,0.360031,27.7957
K2-13 b,K2-13,1,1,Transit,2015,0,39.91488,0.2114,1.89,0.16861451,,,,511.0,5698.0,0.78,0.8,342.394
K2-130 b,K2-130,1,1,Transit,2017,0,2.494161,,1.06180894,0.09472825,,,,,4528.0,0.64361,0.675067,118.011
K2-131 b,K2-131,1,1,Transit,2017,0,0.369311,,1.5,0.13382127,,,,,5200.0,0.81,,152.509
K2-132 b,K2-132,1,1,Transit,2017,0,9.172616,,,,,,,,4840.0,3.85,1.08,609.818
K2-133 b,K2-133,1,4,Transit,2017,0,3.0712,0.033,1.31,0.11687037,,,,,3655.0,0.47,0.51,75.1703
K2-133 c,K2-133,1,4,Transit,2017,0,4.86784,0.04341,1.603,0.14301008,,,,,3655.0,0.455,0.461,75.1703
K2-133 d,K2-133,1,4,Transit,2017,0,11.0248821,,2.46843,0.22021895,,,48.3251,734.0,3798.0,0.46,,75.1703
K2-133 e,K2-133,1,4,Transit,2019,0,26.5841,0.1346,1.73,0.15434026,,,1.8,296.0,3655.0,0.455,0.461,75.1703
K2-136 b,K2-136,2,3,Transit,2017,0,7.975292,,0.99,0.08832188,,,,553.0,4499.0,0.66,0.74,59.2474
K2-136 c,K2-136,2,3,Transit,2017,0,17.30713,0.1185,3.0,0.26764253,18.1,0.05694897,11.91,470.0,4500.0,0.677,0.742,59.2474
K2-136 d,K2-136,2,3,Transit,2017,0,25.5715,,1.55,0.13828174,,,,,4359.0,0.723,0.686,59.2474
K2-137 b,K2-137,1,1,Transit,2017,0,0.179719,,0.64,0.05709707,,,,,3697.0,0.29,,98.8765
K2-138 b,K2-138,1,6,Transit,2017,0,2.35322,0.0338,1.57,0.14006602,,,486.0,,5378.0,0.86,0.93,202.585
K2-138 c,K2-138,1,6,Transit,2017,0,3.55987,0.04454,2.52,0.22481934,,,279.0,,5378.0,0.86,0.93,202.585
K2-138 d,K2-138,1,6,Transit,2017,0,5.40484,0.0575,2.46,0.2194665,,,147.12,888.0,5283.0,0.839,0.916,202.585
K2-138 e,K2-138,1,6,Transit,2017,0,8.26146,0.0782,3.39,0.30243554,12.97,0.04080798,,,5356.3,0.863,0.935,202.585
K2-138 f,K2-138,1,6,Transit,2017,0,12.75758,0.1064,2.73,0.24355429,,,43.02,653.0,5283.0,0.839,0.916,202.585
K2-138 g,K2-138,1,6,Transit,2021,0,41.96797,0.23109,3.013,0.26880186,4.32,0.01359217,,,5356.3,0.863,0.935,202.585
K2-139 b,K2-139,1,1,Transit,2017,0,28.382206,,9.5,0.85,,,,,,0.93,,153.856
K2-14 b,K2-14,1,1,Transit,2015,0,8.36802,0.0627,4.81,0.42911946,,,,488.0,3789.0,0.45,0.47,364.048
K2-140 b,K2-140,1,1,Transit,2017,0,6.56918,0.0687,12.25,1.0928718,,,,957.0,5705.0,0.99,1.0,347.917
