Planet Name,Host Name,Number of Stars in System,Number of Planets in System,Discovery Method,Discovery Year,Controversial Flag,Orbital Period,Semi-Major Axis,Planet Earth Radius,Planet Jupiter Radius,Planet Earth Mass,Planet Jupiter Mass,Insolation Flux,Equilibrium Temperature,Stellar Effective Temperature,Stellar Radius,Stellar Mass,Distance
Kepler-170 b,Kepler-170,1,2,Transit,2014,0,,,2.965,0.26451958,,,136.522,,5573.0,1.004,,738.657
Kepler-170 c,Kepler-170,1,2,Transit,2014,0,16.665863,0.131,2.86,0.255,,,,,5679.0,1.035,,738.657
Kepler-1700 b,Kepler-1700,1,1,Transit,2020,0,234.244257,0.76094,2.884,0.25729369,,,2.2,,5942.0,1.072,1.07,717.597
Kepler-1701 b,Kepler-1701,1,1,Transit,2020,0,169.13399905,,,,,,,,5146.0,0.840217,0.87,584.142
Kepler-1702 b,Kepler-1702,1,1,Transit,2020,0,18.5010197,0.1281,1.56,0.13917412,,,22.81,557.0,5243.0,0.744,0.829,857.14
Kepler-1704 b,Kepler-1704,1,1,Transit,2013,0,600.0,1.467,10.4,0.92782745,,,,258.0,5757.0,1.52,1.167,835.455
Kepler-1705 b,Kepler-1705,1,2,Transit,2021,0,9.0194714,0.08,1.07,0.09545917,,,91.74,789.0,5775.0,0.768,0.838,1633.49
Kepler-1705 c,Kepler-1705,1,2,Transit,2021,0,11.28,,2.05,0.18288907,5.42,0.01705323,,,6312.0,1.259,1.139,1633.49
Kepler-1708 b,Kepler-1708,1,1,Transit,2021,0,737.1131,1.64,9.96,0.88857321,1462.0106722,4.6,0.561,,6157.0,1.117,1.088,1666.69
Kepler-1709 b,Kepler-1709,1,1,Transit,2021,0,65.70462,0.327,3.32,0.29619107,,,,469.0,5952.0,1.044,1.08,273.946
Kepler-171 b,Kepler-171,1,3,Transit,2014,0,4.1669696071,,,,,,,,5521.0,0.997769,0.97,863.855
Kepler-171 c,Kepler-171,1,3,Transit,2014,0,11.46347335,,,,,,,,5521.0,0.997769,0.97,863.855
Kepler-171 d,Kepler-171,1,3,Transit,2014,0,39.6027551,0.2202,1.84,0.16415409,,,12.91,483.0,5641.0,0.831,0.908,863.855
Kepler-1710 b,Kepler-1710,1,1,Transit,2021,0,14.91095177,0.1159,2.62,0.23374115,,,54.87,694.0,5650.0,0.899,0.932,305.193
Kepler-1711 b,Kepler-1711,1,1,Transit,2021,0,21.06080055,,1.923,0.17155886,,,,,5706.0,1.034,0.94,590.268
Kepler-1712 b,Kepler-1712,1,1,Transit,2021,0,13.81504449,0.0903,1.91,0.17039908,,,5.52,391.0,3732.0,0.509,0.515,156.264
Kepler-1713 b,Kepler-1713,1,1,Transit,2021,0,18.01167665,0.1474,1.75,0.15612481,,,150.48,893.0,6463.0,1.447,1.318,295.293
Kepler-1714 b,Kepler-1714,1,1,Transit,2021,0,10.27531708,0.1055,3.17,0.28280894,,,522.13,1219.0,6174.0,2.114,1.49,409.46
Kepler-1715 b,Kepler-1715,1,1,Transit,2021,0,35.59713982,0.2193,2.98,0.26585825,,,33.49,613.0,6210.0,1.1,1.106,522.605
Kepler-1716 b,Kepler-1716,1,1,Transit,2021,0,35.58355458,0.1855,2.3,0.20519261,,,6.22,403.0,4741.0,0.688,0.671,195.439
Kepler-1717 b,Kepler-1717,1,1,Transit,2021,0,30.6529373,0.2101,2.38,0.21232974,,,83.32,771.0,6823.0,1.377,1.319,1008.79
Kepler-1718 b,Kepler-1718,1,1,Transit,2021,0,135.1878234,0.48418,2.375,0.21188367,,,3.7,,5738.0,0.94,0.827,375.522
Kepler-1719 b,Kepler-1719,1,1,Transit,2021,0,6.149362,0.068,3.01,0.26853468,,,,1214.0,5707.0,1.58,1.092,905.406
Kepler-172 b,Kepler-172,1,4,Transit,2014,0,,,2.614,0.23320546,,,639.476,,5613.0,1.063,,828.592
Kepler-172 c,Kepler-172,1,4,Transit,2014,0,6.38899658,0.0666,2.89,0.25782897,,,209.17,970.0,5527.0,1.054,0.964,828.592
Kepler-172 d,Kepler-172,1,4,Transit,2014,0,14.62698952,0.1132,2.21,0.19716333,,,68.81,735.0,5583.0,1.007,0.903,828.592
Kepler-172 e,Kepler-172,1,4,Transit,2014,0,35.11836,0.199,3.0,0.26764253,,,,540.0,5540.0,0.97,0.85,828.592
Kepler-1720 b,Kepler-1720,1,1,Transit,2021,0,12.70633322,,,,,,,,5340.0,0.793371,0.92,629.445
Kepler-1721 b,Kepler-1721,1,1,Transit,2021,0,4.592390839,0.052,2.57,0.22928044,,,174.53,927.0,5361.0,0.799,0.889,641.374
Kepler-1722 b,Kepler-1722,1,1,Transit,2021,0,9.17858526,0.0819,2.3,0.20519261,,,76.14,753.0,5506.0,0.788,0.876,772.283
Kepler-1723 b,Kepler-1723,1,1,Transit,2021,0,39.7530284,0.2249,2.8,0.2497997,,,24.54,568.0,6072.0,1.01,0.96,811.278
Kepler-1724 b,Kepler-1724,1,1,Transit,2021,0,6.45442931,,,,,,,,5726.0,1.08301,1.02,1060.77
Kepler-1725 b,Kepler-1725,1,1,Transit,2021,0,16.71987303,0.1302,2.52,0.22481973,,,81.63,767.0,6020.0,1.085,1.049,558.652
Kepler-1726 b,Kepler-1726,1,1,Transit,2021,0,18.39629936,,2.50861954,0.22380443,,,,,5316.0,0.804,0.876,390.552
Kepler-1727 b,Kepler-1727,1,1,Transit,2021,0,9.029299736,,3.17321625,0.28309588,,,,,5349.0,0.82,0.824,894.187
Kepler-1728 b,Kepler-1728,1,1,Transit,2021,0,4.78300451,0.0535,2.76,0.24623113,,,145.48,886.0,5170.0,0.807,0.891,651.783
Kepler-1729 b,Kepler-1729,1,1,Transit,2021,0,4.220959,0.044,2.77,0.24712327,,,,691.0,4389.0,0.56,0.629,576.181
Kepler-173 b,Kepler-173,1,2,Transit,2014,0,4.26374847,0.0476,1.28,0.11419415,,,457.15,1179.0,6032.0,0.935,0.793,833.165
Kepler-173 c,Kepler-173,1,2,Transit,2014,0,8.005783665,0.0725,2.41,0.21500617,,,197.06,956.0,6032.0,0.935,0.793,833.165
Kepler-1730 b,Kepler-1730,1,1,Transit,2021,0,13.81019506,,,,,,,,5598.0,1.15841,0.99,1427.08
Kepler-1731 b,Kepler-1731,1,1,Transit,2021,0,21.76129812,0.1401,2.53,0.22571187,,,13.18,486.0,4859.0,0.72,0.781,169.948
Kepler-1732 b,Kepler-1732,1,1,Transit,2021,0,32.3122867,0.2015,4.84,0.43179662,,,56.49,699.0,5821.0,1.494,1.043,1289.41
Kepler-1733 b,Kepler-1733,1,1,Transit,2021,0,9.22958009,0.0886,2.31,0.20608475,,,200.2,959.0,6363.0,1.035,1.083,2080.51
Kepler-1734 b,Kepler-1734,1,1,Transit,2021,0,6.79685353,0.0714,2.01,0.1793205,,,222.91,985.0,6061.0,0.97,1.05,1482.83
Kepler-1735 b,Kepler-1735,1,1,Transit,2021,0,7.71797,0.063,1.06,0.09456703,,,,519.0,4072.0,0.526,0.55,245.303
Kepler-1736 b,Kepler-1736,1,1,Transit,2021,0,37.81062,0.225,2.14,0.19091834,,,,569.0,6099.0,1.01,1.06,1430.0
Kepler-1737 b,Kepler-1737,1,1,Transit,2021,0,64.61722273,,,,,,,,,,,
Kepler-1738 b,Kepler-1738,1,1,Transit,2021,0,7.674630165,,2.82472883,0.25200586,,,,,6063.0,1.001,1.079,1302.87
Kepler-1739 b,Kepler-1739,1,1,Transit,2021,0,7.34373964,,,,,,,,5703.0,0.871746,1.02,783.666
Kepler-174 b,Kepler-174,1,3,Transit,2014,0,13.98177862,0.0978,2.09,0.18645763,,,22.1,553.0,4859.0,0.651,0.636,384.757
Kepler-174 c,Kepler-174,1,3,Transit,2014,0,44.0004287,0.2039,1.46,0.1302527,,,3.38,346.0,4590.0,0.595,0.583,384.757
Kepler-174 d,Kepler-174,1,3,Transit,2014,0,247.3503,0.652,2.22,0.19805548,,,,195.0,4565.0,0.61,0.602,384.757
Kepler-1740 b,Kepler-1740,1,1,Transit,2021,0,8.17242644,,,,,,,,5714.58,0.931052,1.02,1061.77
Kepler-1741 b,Kepler-1741,1,1,Transit,2021,0,2.757590055,,1.273,0.11356965,,,,,3683.0,0.424,0.454,270.739
Kepler-1742 b,Kepler-1742,1,1,Transit,2021,0,49.4781446,,,,,,,,5582.0,0.865348,0.99,669.573
Kepler-1743 b,Kepler-1743,1,1,Transit,2021,0,7.64951,0.082,1.47,0.13114484,,,,1196.0,5721.0,1.84,1.254,538.807
Kepler-1744 b,Kepler-1744,1,1,Transit,2021,0,37.101107,0.2093,3.42,0.30511249,,,18.95,532.0,5986.0,0.85,0.886,1091.63
Kepler-1745 b,Kepler-1745,1,1,Transit,2021,0,3.016148,0.041,1.5,0.13382127,,,,1295.0,6013.0,0.98,1.03,996.105
Kepler-1746 b,Kepler-1746,1,1,Transit,2021,0,321.2139,0.958,6.78,0.60487213,,,,300.0,6169.0,1.168,1.135,979.541
Kepler-1747 b,Kepler-1747,1,1,Transit,2021,0,6.230330323,0.066,4.11,0.36667027,,,138.33,875.0,5477.0,0.865,0.983,1321.38
Kepler-1748 b,Kepler-1748,1,1,Transit,2021,0,5.82349237,0.0615,2.71,0.24177042,,,196.33,955.0,5774.0,0.864,0.916,1083.28
Kepler-1749 b,Kepler-1749,1,1,Transit,2021,0,14.53410833,0.0956,1.36,0.12133128,,,7.34,420.0,3957.0,0.553,0.551,268.2
Kepler-175 b,Kepler-175,1,2,Transit,2014,0,11.9035630214,,,,,,,,5721.0,1.27267,1.02,1312.34
Kepler-175 c,Kepler-175,1,2,Transit,2014,0,34.0350559,0.2109,3.22,0.28726965,,,27.24,583.0,6063.0,1.001,1.079,1312.34
Kepler-1750 b,Kepler-1750,1,1,Transit,2021,0,205.91087869,,,,,,,,5474.0,1.19297,0.96,1497.33
Kepler-1751 b,Kepler-1751,1,1,Transit,2021,0,7.01773,0.073,1.79,0.15969338,,,,989.0,6066.0,1.0,1.04,1291.47
Kepler-1752 b,Kepler-1752,1,1,Transit,2021,0,56.3592236,0.2698,5.26,0.46926658,,,7.29,419.0,5446.0,0.821,0.824,962.888
Kepler-1753 b,Kepler-1753,1,1,Transit,2021,0,16.00460052,,2.22678077,0.19866042,,,,,5180.0,0.769,0.86,707.688
Kepler-1754 b,Kepler-1754,1,1,Transit,2021,0,8.19593235,0.0718,2.2,0.19627119,,,48.2,672.0,4723.0,0.747,0.734,718.945
Kepler-1755 b,Kepler-1755,1,1,Transit,2021,0,24.81209946,,5.91688317,0.52786987,,,,,6086.0,0.921,1.003,982.383
Kepler-1756 b,Kepler-1756,1,1,Transit,2021,0,2.35574505,,,,,,,,,,,
Kepler-1757 b,Kepler-1757,1,1,Transit,2021,0,19.65667,0.135,3.01,0.26853468,,,,546.0,5289.0,0.74,0.841,807.308
Kepler-1758 b,Kepler-1758,1,1,Transit,2021,0,9.977210045,,2.57059831,0.22933382,,,,,5557.0,1.616,1.035,1588.41
Kepler-1759 b,Kepler-1759,1,1,Transit,2021,0,3.72020708,0.0429,0.99,0.08832204,,,195.7,954.0,5017.0,0.797,0.76,385.348
Kepler-176 b,Kepler-176,1,4,Transit,2014,0,5.4331329,,,,290.537,0.91413163,,,,0.79,0.86,527.321
Kepler-176 c,Kepler-176,1,4,Transit,2014,0,12.75934834,0.1004,2.64,0.23552543,,,51.05,682.0,5229.0,0.877,0.826,527.321
Kepler-176 d,Kepler-176,1,4,Transit,2014,0,25.75274977,0.1578,2.27,0.20251618,,,14.88,501.0,4963.0,0.826,0.789,527.321
Kepler-176 e,Kepler-176,1,4,Transit,2016,0,51.16579,0.2534,1.54,0.13738983,,,8.01,429.0,5229.0,0.877,0.826,527.321
Kepler-1760 b,Kepler-1760,1,1,Transit,2021,0,38.326218,0.2209,1.83,0.16326195,,,11.87,473.0,5448.0,0.857,0.977,
Kepler-1761 b,Kepler-1761,1,1,Transit,2021,0,4.04355245,0.0413,1.75,0.15612481,,,33.34,613.0,3871.0,0.532,0.573,221.186
Kepler-1762 b,Kepler-1762,1,1,Transit,2021,0,29.5391328,0.2048,2.74,0.24444685,,,68.88,735.0,6616.0,1.298,1.31,1663.74
Kepler-1763 b,Kepler-1763,1,1,Transit,2021,0,1.480280588,0.0257,0.98,0.08742989,,,2597.27,1821.0,5897.0,1.259,1.026,756.486
Kepler-1764 b,Kepler-1764,1,1,Transit,2021,0,70.46829987,,4.55527871,0.40639545,,,,,6461.0,1.131,1.162,1542.48
Kepler-1765 b,Kepler-1765,1,1,Transit,2021,0,10.41889954,,2.49508857,0.22259728,,,,,5692.0,1.064,0.946,764.456
Kepler-1766 b,Kepler-1766,1,1,Transit,2021,0,105.0149994,,2.27904508,0.20332313,,,,,5868.0,1.042,0.915,501.229
Kepler-1767 b,Kepler-1767,1,1,Transit,2021,0,59.65943,0.271,2.9,0.25872112,,,4.82,378.0,5349.0,0.695,0.746,820.506
Kepler-1768 b,Kepler-1768,1,1,Transit,2021,0,15.13589954,,2.23346338,0.1992566,,,,,6050.0,1.572,1.24,632.766
Kepler-1769 b,Kepler-1769,1,1,Transit,2021,0,89.19354375,,,,,,,,6173.0,1.12015,1.18,438.412
Kepler-177 b,Kepler-177,1,2,Transit,2013,0,36.8567758,0.2184,2.68,0.239094,,,21.4,549.0,5768.0,1.015,1.021,1435.44
Kepler-177 c,Kepler-177,1,2,Transit,2013,0,49.41117582,0.25655,9.289,0.8287105,,,25.8,,5732.0,1.324,0.921,1435.44
Kepler-1770 b,Kepler-1770,1,1,Transit,2021,0,16.841896,0.122,2.6,0.23195686,,,,681.0,5526.0,0.95,0.847,582.942
Kepler-1771 b,Kepler-1771,1,1,Transit,2021,0,88.6440015,,,,,,,,5769.62,,,565.752
Kepler-1772 b,Kepler-1772,1,1,Transit,2021,0,3.215106337,0.044,2.69,0.23998614,,,2365.66,1779.0,5779.0,2.142,1.098,871.564
Kepler-1773 b,Kepler-1773,1,1,Transit,2021,0,40.80957622,0.24831,2.854,0.25461726,,,39.2,,6190.0,1.356,1.225,681.255
Kepler-1774 b,Kepler-1774,1,1,Transit,2021,0,59.7711433,0.3096,3.17,0.28280894,,,17.53,522.0,6214.0,1.122,1.101,816.592
Kepler-1775 b,Kepler-1775,1,1,Transit,2021,0,85.65357334,,,,,,,,5910.19,1.26615,1.08,657.023
Kepler-1776 b,Kepler-1776,1,1,Transit,2021,0,35.01190283,,,,,,,,5961.17,1.13226,1.09,690.336
Kepler-1777 b,Kepler-1777,1,1,Transit,2021,0,12.18416331,0.1099,4.27,0.38094454,,,397.48,1139.0,6292.0,1.85,1.19,619.146
Kepler-1778 b,Kepler-1778,1,1,Transit,2021,0,10.08744556,0.0956,3.15,0.28102466,,,186.14,942.0,6310.0,1.095,1.143,1276.29
Kepler-1779 b,Kepler-1779,1,1,Transit,2021,0,16.34356447,0.1218,2.5,0.22303545,,,41.06,646.0,5637.0,0.821,0.902,908.501
Kepler-178 b,Kepler-178,1,3,Transit,2014,0,,,2.4,0.21411366,,,84.571,,5386.0,0.897,,716.025
Kepler-178 c,Kepler-178,1,3,Transit,2014,0,20.55280793,,2.61,0.2328486,,,,,5535.0,0.92,0.94,716.025
Kepler-178 d,Kepler-178,1,3,Transit,2014,0,96.672,0.397,3.6,0.32117104,,,,407.0,5674.0,1.05,0.89,716.025
Kepler-1780 b,Kepler-1780,1,1,Transit,2021,0,109.4450597,,,,,,,,5385.22,0.895253,0.93,790.516
Kepler-1781 b,Kepler-1781,1,1,Transit,2021,0,4.88752985,,2.38091029,0.21241095,,,,,5568.0,0.957,1.053,962.63
Kepler-1782 b,Kepler-1782,1,1,Transit,2021,0,5.756239,0.056,1.6,0.14274268,,,,772.0,4926.0,0.71,0.72,305.792
Kepler-1783 b,Kepler-1783,1,1,Transit,2021,0,8.27744313,0.07595,1.024,0.09135532,,,65.5,,5170.0,0.767,0.852,264.078
Kepler-1784 b,Kepler-1784,1,1,Transit,2021,0,13.59056583,0.1072,3.2,0.28548537,,,64.8,724.0,5442.0,0.974,0.887,883.045
Kepler-1785 b,Kepler-1785,1,1,Transit,2021,0,19.58550072,,2.70422447,0.24125516,,,,,5618.0,0.996,0.911,745.74
Kepler-1786 b,Kepler-1786,1,1,Transit,2021,0,78.54583023,,,,,,,,5718.47,1.22294,1.02,863.909
Kepler-1787 b,Kepler-1787,1,1,Transit,2021,0,39.31370163,,2.31898181,0.20688606,,,,,6060.0,0.925,1.008,778.602
Kepler-1788 b,Kepler-1788,1,1,Transit,2021,0,2.800118124,0.0343,1.97,0.17575193,,,197.81,956.0,4786.0,0.704,0.686,560.445
Kepler-1789 b,Kepler-1789,1,1,Transit,2021,0,80.2321467,,,,,,,,5495.0,0.845417,0.96,611.461
Kepler-179 b,Kepler-179,1,2,Transit,2014,0,2.735903375,0.03688,1.708,0.15237782,,,338.9,,5257.0,0.821,0.893,605.68
Kepler-179 c,Kepler-179,1,2,Transit,2014,0,6.400147394,0.0637,2.26,0.20162404,,,100.33,807.0,5294.0,0.761,0.849,605.68
Kepler-1790 b,Kepler-1790,1,1,Transit,2021,0,31.5888952,0.20989,2.676,0.23873714,,,49.2,,6005.0,1.363,1.235,1070.17
Kepler-1791 b,Kepler-1791,1,1,Transit,2021,0,7.72087,0.079,2.2,0.19627119,,,,1097.0,6238.0,1.25,1.11,602.218
Kepler-1792 b,Kepler-1792,1,1,Transit,2021,0,4.195775379,0.0488,3.03,0.27031896,,,283.78,1047.0,5229.0,1.005,0.878,601.029
Kepler-1793 b,Kepler-1793,1,1,Transit,2021,0,8.77998204,,,,,,,,5300.76,0.905795,0.91,1189.88
Kepler-1794 b,Kepler-1794,1,1,Transit,2021,0,9.76293284,0.0821,1.94,0.17307551,,,57.59,703.0,5052.0,0.816,0.773,561.229
Kepler-1795 b,Kepler-1795,1,1,Transit,2021,0,13.36020599,0.1004,1.91,0.17039908,,,18.0,525.0,4491.0,0.706,0.76,
Kepler-1796 b,Kepler-1796,1,1,Transit,2021,0,29.4556,0.189,2.3,0.20519261,,,,596.0,6034.0,0.95,1.04,825.883
Kepler-1797 b,Kepler-1797,1,1,Transit,2021,0,23.35900015,,,,,,,,5709.57,1.09739,1.02,1338.49
Kepler-1798 b,Kepler-1798,1,1,Transit,2021,0,16.85593514,0.1067,2.08,0.18556549,,,6.25,403.0,3972.0,0.565,0.568,395.196
Kepler-1799 b,Kepler-1799,1,1,Transit,2021,0,11.92979348,,,,,,,,5540.0,1.55873,0.97,2254.69
Kepler-18 b,Kepler-18,1,3,Transit,2011,0,3.5047266193,,,,,,,,5359.0,0.951815,0.927,433.047
Kepler-18 c,Kepler-18,1,3,Transit,2011,0,,,4.295,0.38317423,,,126.081,,5441.0,0.923,,433.047
Kepler-18 d,Kepler-18,1,3,Transit,2011,0,14.859,,6.0,0.53528415,14.9,0.04688041,,,,,0.9,433.047
Kepler-180 b,Kepler-180,1,2,Transit,2014,0,13.81746648,,,,,,,,5437.0,0.968088,0.95,695.65
Kepler-180 c,Kepler-180,1,2,Transit,2014,0,41.8854834,,2.43,0.21679008,,,,,5610.0,0.93,0.95,695.65
Kepler-1800 b,Kepler-1800,1,1,Transit,2021,0,4.56204856,0.05098,0.852,0.07601048,,,242.0,,5330.0,0.932,0.848,350.455
Kepler-1801 b,Kepler-1801,1,2,Transit,2021,0,10.44087398,,,,,,,,5455.0,0.866395,0.95,839.332
Kepler-1801 c,Kepler-1801,1,2,Transit,2023,0,116.582614,0.4572,3.43,0.30600463,,,4.47,371.0,5738.0,0.981,0.936,839.332
Kepler-1802 b,Kepler-1802,1,2,Transit,2021,0,7.72515184,0.0653,1.24,0.11062558,,,22.81,557.0,4141.0,0.608,0.619,636.694
Kepler-1802 c,Kepler-1802,1,2,Transit,2021,0,33.1364259,0.1723,1.88,0.16772265,,,3.28,343.0,4141.0,0.608,0.619,636.694
Kepler-1804 b,Kepler-1804,1,1,Transit,2021,0,12.2885046,0.1017,3.22,0.28726965,,,164.61,913.0,5109.0,1.671,0.929,434.456
Kepler-1805 b,Kepler-1805,1,1,Transit,2021,0,8.84786839,0.0652,1.01,0.09010632,,,8.57,436.0,3724.0,0.46,0.471,221.639
Kepler-1806 b,Kepler-1806,1,1,Transit,2021,0,9.03322647,0.0813,2.05,0.18288907,,,66.89,729.0,5311.0,0.788,0.884,978.066
Kepler-1807 b,Kepler-1807,1,1,Transit,2021,0,10.86060638,0.0988,2.14,0.19091834,,,356.24,1108.0,6455.0,1.496,1.087,1299.32
Kepler-1808 b,Kepler-1808,1,1,Transit,2021,0,23.34036251,,,,,,,,5491.0,1.02834,0.96,1022.01
Kepler-1809 b,Kepler-1809,1,1,Transit,2021,0,3.757294695,0.0435,1.23,0.10973344,,,139.89,877.0,4901.0,0.716,0.807,409.602
Kepler-181 b,Kepler-181,1,2,Transit,2014,0,3.137852,0.04,1.42,0.12668413,,,,1016.0,5325.0,0.75,0.853,609.283
Kepler-181 c,Kepler-181,1,2,Transit,2014,0,4.302139338,0.0482,2.46,0.21946688,,,182.7,937.0,5041.0,0.857,0.807,609.283
Kepler-1810 b,Kepler-1810,1,1,Transit,2021,0,101.1323475,0.4137,3.87,0.34525887,,,4.91,380.0,5492.0,1.016,0.921,1009.87
Kepler-1811 b,Kepler-1811,1,1,Transit,2021,0,76.4241,0.36,2.9,0.25872112,,,,439.0,6082.0,0.97,1.062,1390.56
Kepler-1812 b,Kepler-1812,1,1,Transit,2021,0,7.16521372,0.0765,2.49,0.2221433,,,270.34,1034.0,6174.0,1.103,1.162,1409.19
Kepler-1813 b,Kepler-1813,1,1,Transit,2021,0,2.81814715,0.0364,1.3,0.11597843,,,298.2,1059.0,5167.0,0.787,0.812,
Kepler-1814 b,Kepler-1814,1,2,Transit,2021,0,2.935362067,,,,,,,,4761.0,0.821079,0.77,726.346
Kepler-1814 c,Kepler-1814,1,2,Transit,2023,0,0.626281378,0.0133,1.71,0.15255624,,,2011.27,1708.0,4922.0,0.823,0.79,726.346
Kepler-1815 b,Kepler-1815,1,1,Transit,2021,0,12.191471,0.098,2.5,0.22303545,,,,751.0,5480.0,0.94,0.832,1006.63
Kepler-1816 b,Kepler-1816,1,1,Transit,2021,0,91.5009237,0.35647,1.748,0.15594638,,,2.0,,4966.0,0.677,0.721,437.823
Kepler-1817 b,Kepler-1817,1,1,Transit,2021,0,44.2993483,0.2348,2.68,0.239094,,,10.85,463.0,5316.0,0.915,0.878,748.569
Kepler-1818 b,Kepler-1818,1,1,Transit,2021,0,4.64493642,0.055,1.48,0.13203698,,,504.23,1209.0,6047.0,1.129,1.021,1034.59
Kepler-1819 b,Kepler-1819,1,1,Transit,2021,0,16.48686712,0.1337,27.45,2.44892919,,,78.99,760.0,6090.0,1.071,1.173,1363.19
Kepler-182 b,Kepler-182,1,2,Transit,2014,0,9.82598,0.093,2.2,0.19627119,,,,900.0,6188.0,1.01,1.1,1549.09
Kepler-182 c,Kepler-182,1,2,Transit,2014,0,20.68420772,0.1559,3.28,0.2926225,,,66.83,729.0,6246.0,1.092,1.18,1549.09
Kepler-1820 b,Kepler-1820,1,1,Transit,2021,0,31.03364,0.191,2.4,0.21411403,,,,537.0,5764.0,0.85,0.96,1425.39
Kepler-1821 b,Kepler-1821,1,1,Transit,2021,0,16.45809937,,2.59248115,0.23128608,,,,,5475.0,0.884,0.946,799.699
Kepler-1822 b,Kepler-1822,1,1,Transit,2021,0,22.13339996,,2.64755943,0.23619984,,,,,5165.0,0.702,0.782,897.597
Kepler-1823 b,Kepler-1823,1,1,Transit,2021,0,21.10339928,,2.0861268,0.18611209,,,,,6000.0,1.126,1.068,724.971
Kepler-1824 b,Kepler-1824,1,1,Transit,2021,0,95.609845,0.4201,2.47,0.22035902,,,9.63,449.0,6289.0,1.102,1.074,1040.1
Kepler-1825 b,Kepler-1825,1,1,Transit,2021,0,1.025869966,,1.42200732,0.12686321,,,,,5123.0,0.847,0.828,430.254
Kepler-1826 b,Kepler-1826,1,1,Transit,2021,0,1.615357809,,,,,,,,3890.0,0.604869,0.592043,336.952
Kepler-1827 b,Kepler-1827,1,1,Transit,2021,0,3.70063251,0.0455,1.24,0.11062558,,,737.02,1329.0,5423.0,1.404,0.915,686.461
Kepler-1828 b,Kepler-1828,1,1,Transit,2021,0,10.27380957,,,,,,,,5528.0,0.959127,0.97,871.81
Kepler-1829 b,Kepler-1829,1,1,Transit,2021,0,5.18674073,0.0559,2.22,0.19805548,,,130.81,862.0,5231.0,0.781,0.869,679.921
Kepler-183 b,Kepler-183,1,2,Transit,2014,0,5.6879831,0.0632,2.19,0.19537905,,,239.99,1004.0,5888.0,0.944,1.037,1050.64
Kepler-183 c,Kepler-183,1,2,Transit,2014,0,11.637,,2.23,0.199,35.7,0.112,,,,0.944,1.04,1050.64
Kepler-1830 b,Kepler-1830,1,1,Transit,2021,0,56.49352363,,,,,,,,6273.82,1.75079,1.22,1056.88
Kepler-1831 b,Kepler-1831,1,1,Transit,2021,0,5.78387049,,,,,,,,5774.0,0.94831,1.03,1053.49
Kepler-1832 b,Kepler-1832,1,1,Transit,2021,0,3.138789892,,1.22719556,0.10948324,,,,,5242.0,0.722,0.684,486.174
Kepler-1833 b,Kepler-1833,1,1,Transit,2021,0,6.89208596,0.0742,1.32,0.11776272,,,407.94,1146.0,6047.0,1.37,1.145,591.602
Kepler-1834 b,Kepler-1834,1,2,Transit,2021,0,4.603098,0.048,1.43,0.12757627,,,,820.0,4899.0,0.691,0.714,500.395
Kepler-1834 c,Kepler-1834,1,2,Transit,2023,0,0.766691517,,,,,,,,4798.0,0.745109,0.775,500.395
Kepler-1835 b,Kepler-1835,1,1,Transit,2021,0,11.96721766,0.0997,2.73,0.24355471,,,100.96,808.0,5903.0,0.961,0.922,1404.38
Kepler-1836 b,Kepler-1836,1,1,Transit,2021,0,5.254169941,,2.55303229,0.22776668,,,,,6123.0,0.987,1.053,1472.62
Kepler-1837 b,Kepler-1837,1,1,Transit,2021,0,5.90608902,0.065,1.77,0.1579091,,,247.83,1012.0,5966.0,0.961,1.049,1229.18
Kepler-1838 b,Kepler-1838,1,1,Transit,2021,0,12.14690704,,,,,,,,6031.59,1.69886,1.119,451.242
Kepler-1839 b,Kepler-1839,1,1,Transit,2021,0,5.05661302,0.0583,1.15,0.1025963,,,286.32,1049.0,5926.0,0.939,1.03,1136.6
Kepler-184 b,Kepler-184,1,3,Transit,2014,0,10.68757479,0.0907,2.42,0.21589831,,,89.99,785.0,5783.0,0.86,0.869,610.326
Kepler-184 c,Kepler-184,1,3,Transit,2014,0,20.30303506,,,,,,,,5437.21,0.869668,0.95,610.326
Kepler-184 d,Kepler-184,1,3,Transit,2014,0,29.02235261,0.1765,2.53,0.22571187,,,23.76,563.0,5783.0,0.86,0.869,610.326
Kepler-1840 b,Kepler-1840,1,1,Transit,2021,0,131.18713889,,,,,,,,4679.82,0.77386,0.75,513.107
Kepler-1841 b,Kepler-1841,1,1,Transit,2021,0,25.8859397,,,,,,,,5315.0,0.855913,0.92,631.7
Kepler-1842 b,Kepler-1842,1,1,Transit,2021,0,14.02634692,0.116,2.66,0.23730971,,,108.07,822.0,5970.0,1.131,1.057,923.551
Kepler-1843 b,Kepler-1843,1,1,Transit,2021,0,25.54004,0.168,1.99,0.17753621,,,,770.0,5490.0,1.7,0.975,784.625
Kepler-1844 b,Kepler-1844,1,1,Transit,2021,0,3.9245216,0.0478,1.92,0.17129122,,,318.14,1077.0,5787.0,0.851,0.941,1804.36
Kepler-1845 b,Kepler-1845,1,1,Transit,2021,0,11.60653061,,,,,,,,4836.97,0.731848,0.79,710.724
Kepler-1846 b,Kepler-1846,1,1,Transit,2021,0,14.8200596,0.1089,0.96,0.08564561,,,21.92,552.0,4825.0,0.732,0.785,374.615
